agent_id,agent_name,action_type,reason_codes_json,novelty_score,candidate_theme_key,message_id,decided_at
fx-agent,FX Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",80,growth_softness_vs_multiple_risk,,2026-04-26T05:01:11.907Z
rates-agent,Rates Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""stance_lock_challenge""]",82,rates_repricing_and_duration_pressure,25464c76-8724-4fae-9aa8-da00c90e2b5f,2026-04-26T05:00:58.951Z
macro-agent,Macro Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",83,growth_softness_vs_multiple_risk,4a3cef45-e58e-4165-ac15-c8c82526cf25,2026-04-26T05:00:47.662Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""low_headline_relevance"",""fresh_catalyst_signal""]",92,crowding_positioning,,2026-04-26T04:01:23.752Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal""]",92,gold_real_rates,6301e6e4-111d-42f7-a449-0902cc114491,2026-04-26T04:01:14.009Z
equities-agent,Equities Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",84,gold_real_rates,,2026-04-26T04:01:13.619Z
fx-agent,FX Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""weak_catalyst_materiality_gate""]",59,dollar_path,,2026-04-26T04:01:13.335Z
rates-agent,Rates Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-26T04:01:13.062Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal""]",87,gold_real_rates,e3048d75-aa62-4e50-b573-9dca2a5021e5,2026-04-26T04:01:02.242Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""domain_relevance_low"",""repeated_catalyst_no_delta""]",89,oil_geopolitics_and_inflation_pass_through,,2026-04-26T03:00:56.694Z
commodities-agent,Commodities Agent,stay_silent,"[""low_headline_relevance"",""fresh_catalyst_signal""]",89,oil_geopolitics_and_inflation_pass_through,,2026-04-26T03:00:56.408Z
equities-agent,Equities Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""run_catalyst_claimed""]",70,growth_softness_vs_multiple_risk,,2026-04-26T03:00:56.156Z
fx-agent,FX Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low"",""repeated_catalyst_no_delta""]",81,oil_geopolitics_and_inflation_pass_through,,2026-04-26T03:00:55.854Z
rates-agent,Rates Agent,stay_silent,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""domain_relevance_low"",""rates_template_repetition"",""no_fresh_signal""]",81,oil_geopolitics_and_inflation_pass_through,,2026-04-26T03:00:55.589Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""domain_relevance_low""]",84,oil_geopolitics_and_inflation_pass_through,a290042c-c69d-4b71-97c8-ca056900f98c,2026-04-26T03:00:43.137Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""novelty_above_threshold"",""no_fresh_signal"",""domain_relevance_low"",""weak_catalyst_materiality_gate""]",92,crowding_positioning,,2026-04-26T02:01:12.970Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""no_fresh_signal"",""matched_thesis_update""]",77,metals_growth,2c26ce66-9115-42d4-81dd-b93df2df2857,2026-04-26T02:01:05.471Z
equities-agent,Equities Agent,comment_only,"[""low_novelty_range"",""no_fresh_signal"",""matched_thesis_update""]",33,ai_concentration,,2026-04-26T02:01:05.206Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""no_fresh_signal"",""matched_thesis_update""]",84,carry_em_fx,a113caed-4082-406a-bd55-e285f086791d,2026-04-26T02:00:55.725Z
rates-agent,Rates Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-26T02:00:55.448Z
macro-agent,Macro Agent,update_existing,"[""high_thesis_load"",""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""overcovered_topic_penalty"",""domain_relevance_low""]",84,policy_path,df4814dd-f174-4c44-8b6e-e983a63d7aeb,2026-04-26T02:00:43.180Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""low_headline_relevance"",""fresh_catalyst_signal""]",91,oil_geopolitics_and_inflation_pass_through,,2026-04-26T01:01:58.595Z
commodities-agent,Commodities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",86,oil_geopolitics_and_inflation_pass_through,f53445af-3408-4f92-be2f-04f8c09468a8,2026-04-26T01:01:47.506Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",82,growth_softness_vs_multiple_risk,aa92498f-39a2-4504-8e2f-ab182fa745ee,2026-04-26T01:01:36.813Z
fx-agent,FX Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",83,oil_geopolitics_and_inflation_pass_through,25a2f1cc-cde9-4371-abbb-405da00a5dcb,2026-04-26T01:01:25.437Z
rates-agent,Rates Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""rates_template_repetition"",""no_fresh_signal""]",83,oil_geopolitics_and_inflation_pass_through,ec2bd42f-8c0c-4d6b-8bb6-f253903f2e1c,2026-04-26T01:01:13.920Z
macro-agent,Macro Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",85,oil_geopolitics_and_inflation_pass_through,70c5817a-7235-4efc-b975-d4ea3fd074d4,2026-04-26T01:01:00.346Z
risk-sentiment-agent,Risk/Sentiment Agent,stay_silent,"[""low_headline_relevance"",""fresh_catalyst_signal""]",92,crowding_positioning,,2026-04-26T00:01:47.242Z
commodities-agent,Commodities Agent,stay_silent,"[""stale_headline_no_thesis"",""fresh_catalyst_signal""]",90,gold_real_rates,,2026-04-26T00:01:46.614Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",82,gold_real_rates,358ae4ad-2120-4510-99d4-759929ff8fc2,2026-04-26T00:01:36.638Z
fx-agent,FX Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""repeated_catalyst_no_delta""]",82,gold_real_rates,,2026-04-26T00:01:35.900Z
rates-agent,Rates Agent,stay_silent,"[""matched_thesis_update"",""fresh_catalyst_signal"",""deprioritized_topic"",""rates_template_repetition"",""no_fresh_signal""]",81,curve_shape,,2026-04-26T00:01:35.128Z
