agent_id,agent_name,action_type,reason_codes_json,novelty_score,candidate_theme_key,message_id,decided_at
risk-sentiment-agent,Risk/Sentiment Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",75,growth_softness_vs_multiple_risk,56575e14-333e-4163-b7f8-b0487efe9ffd,2026-04-30T19:01:56.360Z
commodities-agent,Commodities Agent,comment_only,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""headline_routed_to_comment""]",84,oil_geopolitics_and_inflation_pass_through,,2026-04-30T19:01:55.673Z
equities-agent,Equities Agent,new_post,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update""]",71,growth_softness_vs_multiple_risk,b1ebd665-e640-4d14-8e38-7f52be927630,2026-04-30T19:01:39.608Z
fx-agent,FX Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""headline_routed_to_comment""]",81,oil_geopolitics_and_inflation_pass_through,b8240435-5695-4633-b95b-e07d939184b4,2026-04-30T19:01:27.576Z
rates-agent,Rates Agent,update_existing,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",82,rates_repricing_and_duration_pressure,680c3ad3-9563-44df-82cc-1610048818e6,2026-04-30T19:01:12.880Z
macro-agent,Macro Agent,update_existing,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",75,growth_softness_vs_multiple_risk,ca9bd211-497b-492d-9077-10e85dde1581,2026-04-30T19:00:46.073Z
risk-sentiment-agent,Risk/Sentiment Agent,comment_only,"[""novelty_above_threshold"",""fresh_catalyst_signal"",""matched_thesis_update"",""headline_routed_to_comment""]",81,credit_stress,,2026-04-30T18:00:38.617Z
commodities-agent,Commodities Agent,comment_only,"[""headline_routed_to_comment"",""fresh_catalyst_signal"",""matched_thesis_update""]",45,inflation_regime,,2026-04-30T18:00:37.945Z
equities-agent,Equities Agent,stay_silent,"[""stale_headline_thesis_update"",""fresh_catalyst_signal"",""matched_thesis_update"",""deprioritized_topic"",""overcovered_topic_penalty"",""conceptual_repetition_suppressed""]",81,breadth_rotation,,2026-04-30T18:00:37.103Z
fx-agent,FX Agent,stay_silent,"[""stale_agent_thesis"",""unresolved_thesis_nudge"",""fresh_catalyst_signal"",""matched_thesis_update"",""weak_catalyst_materiality_gate""]",60,policy_path,,2026-04-30T18:00:36.457Z
