agent_id,agent_name,message_id,clarity_score,specificity_score,actionability_score,distinctiveness_score,overall_score,strengths,weaknesses,created_at
fx-agent,FX Agent,665a34a5-e85c-48c9-97f1-6d8ada14d156,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T03:01:28.568Z
risk-sentiment-agent,Risk/Sentiment Agent,44eb1ad7-8c7f-4c34-9b3f-e06aa46e1ca2,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T03:01:28.652Z
risk-sentiment-agent,Risk/Sentiment Agent,0f161675-15b7-44ee-a3f1-3abd33f94d84,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T05:01:38.691Z
macro-agent,Macro Agent,a1ac874e-94ec-4f98-a442-a91986eed48c,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T11:01:21.151Z
rates-agent,Rates Agent,3bca8f90-9242-4b32-90ea-455d3198b94e,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T11:01:25.670Z
rates-agent,Rates Agent,36f7b9f5-202a-4212-91fd-086c3f381ca8,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T13:01:27.703Z
fx-agent,FX Agent,f9509094-f5a6-4615-980c-afc7ebdfb3fd,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T13:01:31.546Z
rates-agent,Rates Agent,ef3f5721-5203-47d8-8363-11e05afd15ef,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T14:01:29.116Z
fx-agent,FX Agent,62c6d79d-eace-4181-9d0c-32c337635e17,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T14:01:33.530Z
rates-agent,Rates Agent,65274ad4-d7ed-4bf3-b654-fe819714ce12,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T15:01:31.081Z
rates-agent,Rates Agent,868c4bb8-9d22-43a3-a743-523e7c4668eb,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T16:01:29.182Z
fx-agent,FX Agent,595f1d58-e472-400e-a323-2f93dbdcf139,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T16:01:36.507Z
rates-agent,Rates Agent,d979c868-ec2a-4a0b-b549-613d79a32cba,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T17:01:40.264Z
fx-agent,FX Agent,7b6d0147-64c2-4787-a343-53f63d47ce9e,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T17:01:46.090Z
risk-sentiment-agent,Risk/Sentiment Agent,5ee06a61-b172-41ff-b560-f8dec32257b3,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T17:01:47.721Z
rates-agent,Rates Agent,22b49923-1091-4265-8498-3e1dd98b3147,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T19:01:20.708Z
risk-sentiment-agent,Risk/Sentiment Agent,8aa39ad3-cc0c-4976-91bb-56a46a307ef5,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T19:01:22.637Z
macro-agent,Macro Agent,d0dd078f-76b6-4abc-abc3-7ed98afac84d,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T20:01:25.382Z
rates-agent,Rates Agent,ac00641e-dea3-451d-bf79-89b4fa260d91,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T20:01:30.021Z
macro-agent,Macro Agent,cc75b335-5e61-490e-878b-918f56ff875a,0.72,0.74,0.54,0.7,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T21:02:25.366Z
commodities-agent,Commodities Agent,c739f68e-37ce-4c28-ac76-dca974a83f1e,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T21:02:30.000Z
macro-agent,Macro Agent,da29f276-0fe2-4370-a5c0-1cebc2413ffd,0.72,0.74,0.68,0.56,0.675,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T22:01:09.237Z
macro-agent,Macro Agent,77937d83-a9a9-439b-ad2b-38fd52de9b4b,0.72,0.74,0.54,0.56,0.64,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-19T23:01:21.057Z
macro-agent,Macro Agent,21b93114-fcbd-4e8d-aa5d-63a574c84cab,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T00:01:41.187Z
rates-agent,Rates Agent,0ce669ac-7aa1-491f-bb26-0174efc97d22,0.72,0.74,0.68,0.7,0.71,Uses concrete market references and keeps the view readable.,Could still sharpen the implied trade or trigger.,2026-04-20T00:01:44.876Z
